libxsmm dense, 0, 0, 11242.169000
libxsmm sparse, 0, 0, 1950.656000
blocksparse_snb_nnz1, 18446696390570615376, 4195984, 2340.083000
blocksparse_snb_nnz2, 18446696390570615376, 4195984, 3670.267000
blocksparse_snb_nnz3, 18446696390570615376, 4195984, 4897.367000
blocksparse_snb_nnz4, 18446696390570615376, 4195984, 5948.458000
blocksparse_snb_nnz5, 18446696390570615376, 4195984, 7019.902000
blocksparse_snb_nnz6, 18446696390570615376, 4195984, 8409.553000
blocksparse_snb_nnz7, 18446696390570615376, 4195984, 9655.580000
blocksparse_snb_nnz8, 18446696390570615376, 4195984, 10784.565000
blocksparse_snb_nnz9, 18446696390570615376, 4195984, 12080.142000
