libxsmm dense, 0, 0, 7106.235000
Mismatch 333333.000000 != 0.000000 at row 12, col 4
Mismatch 399915.000000 != 0.000000 at row 12, col 5
Mismatch 466497.000000 != 20997.000000 at row 12, col 6
Mismatch 533079.000000 != 0.000000 at row 12, col 7
Mismatch 599661.000000 != 0.000000 at row 12, col 8
Mismatch 67275.000000 != 9711.000000 at row 13, col 0
Mismatch 134181.000000 != 0.000000 at row 13, col 1
Mismatch 201087.000000 != 0.000000 at row 13, col 2
Mismatch 267993.000000 != 15417.000000 at row 13, col 3
Mismatch 334899.000000 != 0.000000 at row 13, col 4
Mismatch 401805.000000 != 0.000000 at row 13, col 5
Mismatch 468711.000000 != 21123.000000 at row 13, col 6
Mismatch 535617.000000 != 0.000000 at row 13, col 7
Mismatch 602523.000000 != 0.000000 at row 13, col 8
Mismatch 67545.000000 != 9765.000000 at row 14, col 0
Mismatch 134775.000000 != 0.000000 at row 14, col 1
Mismatch 202005.000000 != 0.000000 at row 14, col 2
Mismatch 269235.000000 != 15507.000000 at row 14, col 3
Mismatch 336465.000000 != 0.000000 at row 14, col 4
Mismatch 403695.000000 != 0.000000 at row 14, col 5
Mismatch 470925.000000 != 21249.000000 at row 14, col 6
Mismatch 538155.000000 != 0.000000 at row 14, col 7
Mismatch 605385.000000 != 0.000000 at row 14, col 8
Mismatch 67815.000000 != 9819.000000 at row 15, col 0
Mismatch 135369.000000 != 0.000000 at row 15, col 1
Mismatch 202923.000000 != 0.000000 at row 15, col 2
Mismatch 270477.000000 != 15597.000000 at row 15, col 3
Mismatch 338031.000000 != 0.000000 at row 15, col 4
Mismatch 405585.000000 != 0.000000 at row 15, col 5
Mismatch 473139.000000 != 21375.000000 at row 15, col 6
Mismatch 540693.000000 != 0.000000 at row 15, col 7
Mismatch 608247.000000 != 0.000000 at row 15, col 8
Mismatch 68085.000000 != 9873.000000 at row 16, col 0
Mismatch 135963.000000 != 0.000000 at row 16, col 1
Mismatch 203841.000000 != 0.000000 at row 16, col 2
Mismatch 271719.000000 != 15687.000000 at row 16, col 3
Mismatch 339597.000000 != 0.000000 at row 16, col 4
Mismatch 407475.000000 != 0.000000 at row 16, col 5
Mismatch 475353.000000 != 21501.000000 at row 16, col 6
Mismatch 543231.000000 != 0.000000 at row 16, col 7
Mismatch 611109.000000 != 0.000000 at row 16, col 8
Mismatch 68355.000000 != 9927.000000 at row 17, col 0
Mismatch 136557.000000 != 0.000000 at row 17, col 1
Mismatch 204759.000000 != 0.000000 at row 17, col 2
Mismatch 272961.000000 != 15777.000000 at row 17, col 3
Mismatch 341163.000000 != 0.000000 at row 17, col 4
Mismatch 409365.000000 != 0.000000 at row 17, col 5
Mismatch 477567.000000 != 21627.000000 at row 17, col 6
Mismatch 545769.000000 != 0.000000 at row 17, col 7
Mismatch 613971.000000 != 0.000000 at row 17, col 8
Mismatch 68625.000000 != 9981.000000 at row 18, col 0
Mismatch 137151.000000 != 0.000000 at row 18, col 1
Mismatch 205677.000000 != 0.000000 at row 18, col 2
Mismatch 274203.000000 != 15867.000000 at row 18, col 3
Mismatch 342729.000000 != 0.000000 at row 18, col 4
Mismatch 411255.000000 != 0.000000 at row 18, col 5
Mismatch 479781.000000 != 21753.000000 at row 18, col 6
Mismatch 548307.000000 != 0.000000 at row 18, col 7
Mismatch 616833.000000 != 0.000000 at row 18, col 8
Mismatch 68895.000000 != 10035.000000 at row 19, col 0
Mismatch 137745.000000 != 0.000000 at row 19, col 1
Mismatch 206595.000000 != 0.000000 at row 19, col 2
Mismatch 275445.000000 != 15957.000000 at row 19, col 3
Mismatch 344295.000000 != 0.000000 at row 19, col 4
Mismatch 413145.000000 != 0.000000 at row 19, col 5
Mismatch 481995.000000 != 21879.000000 at row 19, col 6
Mismatch 550845.000000 != 0.000000 at row 19, col 7
Mismatch 619695.000000 != 0.000000 at row 19, col 8
Mismatch 69165.000000 != 10089.000000 at row 20, col 0
Mismatch 138339.000000 != 0.000000 at row 20, col 1
Mismatch 207513.000000 != 0.000000 at row 20, col 2
Mismatch 276687.000000 != 16047.000000 at row 20, col 3
Mismatch 345861.000000 != 0.000000 at row 20, col 4
Mismatch 415035.000000 != 0.000000 at row 20, col 5
Mismatch 484209.000000 != 22005.000000 at row 20, col 6
Mismatch 553383.000000 != 0.000000 at row 20, col 7
Mismatch 622557.000000 != 0.000000 at row 20, col 8
Mismatch 69435.000000 != 10143.000000 at row 21, col 0
Mismatch 138933.000000 != 0.000000 at row 21, col 1
Mismatch 208431.000000 != 0.000000 at row 21, col 2
